2120,JP,"LIFULL Co.,Ltd."
2121,JP,"MIXI,Inc."
2122,JP,"Interspace Co.,Ltd."
2124,JP,"JAC Recruitment Co.,Ltd."
2127,JP,Nihon M&A Center Holdings Inc.
212A,JP,FIT EASY Inc.
2130,JP,"Members Co.,Ltd."
2134,JP,"Kitahama Capital Partners Co.,Ltd."
2136,JP,HIP CORPORATION
2138,JP,"CROOZ,Inc."
2139,JP,"CHUCO CO.,LTD."
213A,JP,Listed Index Fund Nikkei Semiconductor Stock
2146,JP,"UT Group Co.,Ltd."
2148,JP,ITmedia Inc.
2150,JP,"CareNet,Inc."
2152,JP,Youji Corporation
2153,JP,E?J Holdings Inc.
2154,JP,Open Up Group Inc.
2156,JP,SAYLOR ADVERTISING INC.
2157,JP,"KOSHIDAKA HOLDINGS Co.,LTD."
2158,JP,"FRONTEO,Inc."
215A,JP,"Timee,Inc."
2160,JP,GNI Group Ltd.
2162,JP,nms Holdings Corporation
2163,JP,"ARTNER CO.,LTD."
2164,JP,"CHIIKISHINBUNSHA CO.,LTD."
2168,JP,Pasona Group Inc.
2169,JP,"CDS Co.,Ltd."
216A,JP,"Life create Co.,Ltd"
2170,JP,Link and Motivation Inc.
2173,JP,Hakuten Corporation
2175,JP,"SMS CO.,LTD."
2179,JP,"SEIGAKUSHA CO.,LTD."
217A,JP,"SUPPORT Co.,Ltd."
2180,JP,SUNNY SIDE UP GROUP Inc.
2181,JP,"PERSOL HOLDINGS CO.,LTD."
2183,JP,"Linical Co.,Ltd."
2185,JP,CMC CORPORATION
2186,JP,Sobal Corporation
218A,JP,"Liberaware Co.,Ltd."
2193,JP,Cookpad Inc.
2195,JP,"AMITA HOLDINGS CO.,LTD."
2196,JP,ESCRIT INC.
2198,JP,IKK Holdings Inc.
219A,JP,Heartseed Inc.
2201,JP,"Morinaga & Co.,Ltd."
2204,JP,"NAKAMURAYA CO.,LTD."
2206,JP,"Ezaki Glico Co.,Ltd."
2207,JP,"Meito Sangyo Co.,Ltd."
2208,JP,BOURBON CORPORATION
2209,JP,"IMURAYA GROUP CO.,LTD."
220A,JP,Faber Company Inc.
2211,JP,"Fujiya Co.,Ltd."
2212,JP,"YAMAZAKI BAKING CO.,LTD."
2215,JP,"FIRST BAKING CO.,LTD."
2216,JP,Kanro Inc.
2217,JP,Morozoff Limited
221A,JP,MAXIS Nikkei Semiconductor Stock (Japan) ETF
2220,JP,"KAMEDA SEIKA CO.,LTD."
2221,JP,"IWATSUKA CONFECTIONERY CO.,LTD."
2222,JP,"Kotobuki Spirits Co.,Ltd."
2224,JP,"COMO CO.,LTD."
2226,JP,KOIKE-YA Inc.
2229,JP,"CALBEE,Inc."
222A,JP,Nippon Information Control System Inc.
2235,JP,Listed Index Fund US Equity (Dow Average) No Currency Hedge
2236,JP,Global X S&P 500 Dividend Aristocrats ETF
2237,JP,iFreeETF S&P500 Leveraged (2x)
2238,JP,iFreeETF S&P500 Inverse
2239,JP,Listed Index Fund S&P500 Futures Leveraged Two Times
223A,JP,Global X Artificial Intelligence & Technology ETF
2240,JP,Listed Index Fund S&P500 Futures Inverse
2241,JP,MAXIS NY Dow Industrial Average ETF
2242,JP,MAXIS NY Dow Industrial Average ETF (JPY Hedged)
2243,JP,Global X Semiconductor ETF
2244,JP,Global X US Tech Top 20 ETF
2245,JP,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund
2246,JP,NEXT FUNDS Bloomberg France Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund
2247,JP,iFreeETF S&P500 (NON HEDGED)
2248,JP,iFreeETF S&P500 (JPY HEDGED)
2249,JP,iFreeETF S&P500 Double Inverse (-2x)
224A,JP,Global X Uranium ETF
2250,JP,iShares MSCI Japan Climate Action ETF
2251,JP,NEXT FUNDS JPX JGB Futures Double Inverse Index Exchange Traded Fund
2252,JP,Global X Morningstar US Small Mid Moat ETF
2253,JP,Global X SuperDividend U.S. ETF
2254,JP,Global X China Electric Vehicle and Battery ETF
2255,JP,iShares 20+ Year US Treasury Bond ETF
2256,JP,iShares US Aggregate Bond ETF
2257,JP,iShares USD Investment Grade Corporate Bond ETF
2258,JP,iShares USD High Yield Corporate Bond ETF
2259,JP,iShares 7-10 Year France Government Bond JPY Hedged ETF
2264,JP,"MORINAGA MILK INDUSTRY CO.,LTD."
2266,JP,"ROKKO BUTTER CO.,LTD."
2267,JP,"YAKULT HONSHA CO.,LTD."
2268,JP,"B-R 31 ICE CREAM CO.,LTD."
2269,JP,"Meiji Holdings Co.,Ltd."
226A,JP,Katsu Mi Japan Inc.
2270,JP,"MEGMILK SNOW BRAND Co.,Ltd."
227A,JP,"INSIGHT LAB,Inc."
2281,JP,"Prima Meat Packers,Ltd."
2282,JP,NH Foods Ltd.
2286,JP,"Hayashikane Sangyo Co.,Ltd."
2288,JP,"MARUDAI FOOD CO.,LTD."
228A,JP,"OPRO Co.,Ltd."
2291,JP,"FUKUTOME MEAT PACKERS,LTD."
2292,JP,S Foods Inc.
2293,JP,"TAKIZAWA HAM CO.,LTD."
2294,JP,"Kakiyasu Honten Co.,Ltd."
2296,JP,ITOHAM YONEKYU HOLDINGS INC.
229A,JP,Asumi HD Inc.
